Age,Gender,Team,Team_State,State,Country,Fan_Length,Attendance,Own_Jersey,Spent,Podcast,FF,Other_Sports,SB_Predict,Player
26-30,Male,Minnesota Vikings,Minnesota,New York,,15-19,Yes,Yes,$0-$49,Yes,No,"Baseball,Basketball,Hockey,Golf",Buffalo Bills,Eric Kendricks
31-35,Male,Seattle Seahawks,Washington,Washington,,15-19,Yes,No,$0-$49,Yes,No,"Baseball,Basketball",Los Angeles Chargers,
21-25,Male,Denver Broncos,Colorado,Colorado,,20-24,Yes,Yes,$0-$49,No,No,Basketball,Denver Broncos,
21-25,Male,Los Angeles Chargers,California,South Carolina,,10-14,No,Yes,$100-$199,Yes,Yes,None,Buffalo Bills,Justin Herbert
36-40,Male,Pittsburgh Steelers,Pennsylvania,Other,Colombia,25+,Yes,Yes,$100-$199,Yes,Yes,Rugby,Buffalo Bills,Cam Heyward
26-30,Male,Cincinnati Bengals,Ohio,Vermont,,10-14,Yes,No,$0-$49,No,No,None,Cincinnati Bengals,Joe Burrow
31-35,Male,Denver Broncos,Colorado,Montana,,25+,Yes,Yes,$50-$99,No,Yes,None,Denver Broncos,
16-20,Female,Detroit Lions,Michigan,Wisconsin,,15-19,Yes,Yes,$100-$199,No,No,"Baseball,Hockey",Buffalo Bills,Jamaal Williams
31-35,Male,Minnesota Vikings,Minnesota,Minnesota,,20-24,Yes,Yes,$50-$99,No,Yes,"Baseball,Basketball,Hockey,Tennis,Golf",Buffalo Bills,Justin Jefferson
26-30,Male,Cincinnati Bengals,Ohio,Colorado,,20-24,Yes,No,$300-$499,Yes,Yes,"Baseball,Hockey",Cincinnati Bengals,Evan Mcpherson
31-35,Male,Miami Dolphins,Florida,Texas,,20-24,Yes,Yes,$100-$199,No,Yes,None,Miami Dolphins,Christian Wilkins
21-25,Male,Los Angeles Chargers,California,Texas,,10-14,No,Yes,$50-$99,Yes,Yes,Soccer,Los Angeles Chargers,Justin Herbert
21-25,Male,Miami Dolphins,Florida,Arkansas,,15-19,Yes,Yes,$50-$99,Yes,No,"Baseball,Basketball",Buffalo Bills,Tua Tagovailoa
26-30,Male,New England Patriots,Massachusetts,Other,Canada,15-19,No,Yes,$100-$199,No,Yes,"Baseball,Basketball,Hockey",Tampa Bay Buccaneers,Tom Brady
36-40,Female,New England Patriots,Massachusetts,Massachusetts,,20-24,Yes,Yes,$50-$99,No,No,"Baseball,Hockey",Tampa Bay Buccaneers,Jake Bailey
21-25,Male,Atlanta Falcons,Georgia,Florida,,15-19,No,Yes,$0-$49,Yes,Yes,None,Buffalo Bills,Kyle Pitts
16-20,Female,San Francisco 49ers,California,California,,15-19,Yes,Yes,$0-$49,No,No,"Baseball,Basketball",San Francisco 49ers,Trey Lance
41-50,Male,Pittsburgh Steelers,Pennsylvania,New Jersey,,25+,Yes,Yes,$200-$299,Yes,Yes,"Basketball,Hockey,Tennis",Pittsburgh Steelers,Chris Boswell
51+,Male,Miami Dolphins,Florida,Florida,,25+,Yes,No,$0-$49,No,No,"Baseball,Basketball,Hockey,Tennis,Golf",Miami Dolphins,
Under 16,Male,Cincinnati Bengals,Ohio,Kentucky,,6-9,Yes,Yes,$300-$499,No,Yes,"Baseball,Golf,Bowling",Buffalo Bills,Jesse Bates Iii
36-40,Male,Pittsburgh Steelers,Pennsylvania,Pennsylvania,,25+,Yes,Yes,$100-$199,No,Yes,Hockey,Buffalo Bills,Derrick Henry
21-25,Male,Pittsburgh Steelers,Pennsylvania,Pennsylvania,,0-2,Yes,No,$0-$49,Yes,No,Basketball,Buffalo Bills,Tj Watt
36-40,Male,Cincinnati Bengals,Ohio,Colorado,,15-19,Yes,No,$200-$299,Yes,Yes,"Baseball,Basketball",Cincinnati Bengals,Joe Burrow
16-20,Male,New England Patriots,Massachusetts,Massachusetts,,6-9,Yes,Yes,$0-$49,No,No,"Baseball,Basketball,Formula 1",Kansas City Chiefs,Mac Jones
21-25,Male,Pittsburgh Steelers,Pennsylvania,Florida,,10-14,Yes,No,$0-$49,Yes,Yes,"Basketball,Hockey,Golf,Mma",Buffalo Bills,Cam Heyward
31-35,Male,Minnesota Vikings,Minnesota,Other,New Zealand,6-9,No,Yes,$0-$49,No,No,None,Buffalo Bills,Adam Thielen
26-30,Female,New England Patriots,Massachusetts,Nebraska,,15-19,Yes,Yes,$100-$199,No,Yes,"Baseball,Basketball,Hockey,Volleyball",Buffalo Bills,Matthew Slater
16-20,Female,Baltimore Ravens,Maryland,Florida,,3-5,Yes,Yes,$50-$99,Yes,No,Archery,Buffalo Bills,Lamar Jackson
16-20,Male,Dallas Cowboys,Texas,Virginia,,10-14,No,Yes,$50-$99,No,Yes,"Baseball,Basketball,Hockey,Nascar",Buffalo Bills,Dak Prescott
51+,Male,Minnesota Vikings,Minnesota,Minnesota,,25+,Yes,Yes,$100-$199,Yes,No,"Baseball,Hockey",Minnesota Vikings,
31-35,Male,Minnesota Vikings,Minnesota,New York,,25+,Yes,Yes,$0-$49,No,Yes,"Baseball,Basketball",Minnesota Vikings,
16-20,Male,Detroit Lions,Michigan,California,,6-9,No,Yes,$0-$49,No,Yes,Baseball,Buffalo Bills,Amon-Ra St. Brown
Under 16,Male,Atlanta Falcons,Georgia,Prefer not to answer,,6-9,No,Yes,$100-$199,Yes,No,Basketball,Buffalo Bills,Matt Ryan
21-25,Male,Baltimore Ravens,Maryland,North Carolina,,10-14,Yes,Yes,$300-$499,No,Yes,"Basketball,Tennis,Soccer",Baltimore Ravens,Rashod Bateman
41-50,Male,New England Patriots,Massachusetts,Maryland,,25+,Yes,Yes,$300-$499,Yes,Yes,"Baseball,Basketball,Hockey",New England Patriots,Devin Mccourty
26-30,Male,Minnesota Vikings,Minnesota,Minnesota,,20-24,Yes,Yes,$50-$99,Yes,Yes,"Basketball,Hockey,Golf",Buffalo Bills,Justin Jefferson
16-20,Male,Atlanta Falcons,Georgia,Illinois,,10-14,Yes,Yes,$100-$199,No,Yes,"Baseball,Basketball,Hockey,Tennis,Golf",Atlanta Falcons,Aj Terrell
31-35,Male,Cincinnati Bengals,Ohio,Ohio,,25+,Yes,Yes,$50-$99,No,Yes,Hockey,Cincinnati Bengals,Ja'Marr Chase
16-20,Male,New England Patriots,Massachusetts,Arizona,,6-9,Yes,Yes,$100-$199,No,Yes,"Baseball,Basketball",Buffalo Bills,Mac Jones
26-30,Male,Baltimore Ravens,Maryland,Indiana,,15-19,No,Yes,$50-$99,Yes,Yes,None,Baltimore Ravens,Marlon Humphrey
41-50,Male,New England Patriots,Massachusetts,California,,25+,No,No,$0-$49,Yes,No,"Baseball,Basketball,Tennis",Kansas City Chiefs,
36-40,Male,Dallas Cowboys,Texas,Virginia,,25+,No,Yes,$0-$49,No,Yes,"Baseball,Basketball,Tennis,Golf",Buffalo Bills,
31-35,Male,Minnesota Vikings,Minnesota,Oregon,,25+,Yes,Yes,$100-$199,Yes,Yes,"Basketball,Soccer",Baltimore Ravens,Kirk Cousins
26-30,Female,Los Angeles Chargers,California,California,,10-14,Yes,Yes,$1000+,Yes,Yes,"Baseball,Tennis,Soccer",Los Angeles Chargers,Justin Herbert
21-25,Male,Minnesota Vikings,Minnesota,Minnesota,,15-19,No,Yes,$0-$49,Yes,Yes,"Baseball,Basketball,Hockey",Los Angeles Chargers,Harrison Smith
31-35,Male,Los Angeles Chargers,California,Tennessee,,10-14,Yes,Yes,$100-$199,Yes,No,None,Los Angeles Chargers,Derwin James
31-35,Male,Los Angeles Rams,California,Arizona,,20-24,No,No,$0-$49,Yes,Yes,"Baseball,Basketball,Hockey",Buffalo Bills,Cooper Kupp
16-20,Male,Washington Commanders,Maryland,New Jersey,,6-9,Yes,Yes,$50-$99,No,No,"Baseball,Basketball,Nascar, Formula One",Tampa Bay Buccaneers,Terry Mclaurin
21-25,Male,Minnesota Vikings,Minnesota,Alaska,,10-14,No,Yes,$0-$49,No,No,None,Tampa Bay Buccaneers,
16-20,Male,Los Angeles Chargers,California,Virginia,,3-5,Yes,Yes,$0-$49,No,Yes,"Basketball,Hockey,Golf",Los Angeles Chargers,
31-35,Male,New England Patriots,Massachusetts,Massachusetts,,25+,Yes,Yes,$100-$199,Yes,Yes,"Baseball,Basketball,Hockey",Buffalo Bills,Tom Brady
41-50,Male,Washington Commanders,Maryland,New Jersey,,25+,Yes,Yes,$100-$199,Yes,Yes,Basketball,Buffalo Bills,Terry Mclaurin
21-25,Male,Miami Dolphins,Florida,Ohio,,0-2,No,Yes,$300-$499,Yes,Yes,Hockey,Buffalo Bills,Jevon Holland
21-25,Male,New England Patriots,Massachusetts,Florida,,15-19,Yes,Yes,$0-$49,Yes,Yes,"Basketball,Soccer, Cricket",Baltimore Ravens,Gardner Minshew Ii
31-35,Male,Chicago Bears,Illinois,Iowa,,25+,Yes,Yes,$100-$199,No,Yes,"Baseball,Hockey",Buffalo Bills,
26-30,Male,Tampa Bay Buccaneers,Florida,Wisconsin,,20-24,Yes,Yes,$300-$499,No,No,"Baseball,Pro Wrestling",Tampa Bay Buccaneers,Lavonte David
16-20,Male,Atlanta Falcons,Georgia,South Carolina,,3-5,No,No,$0-$49,No,No,"Baseball,Basketball,Hockey,Soccer, Mma, Boxing,Esports",Buffalo Bills,Julio Jones
21-25,Male,New England Patriots,Massachusetts,Kentucky,,15-19,No,No,$0-$49,Yes,No,"Baseball,Hockey,Golf",Buffalo Bills,Mac Jones
16-20,Male,New England Patriots,Massachusetts,Washington,,0-2,No,Yes,$0-$49,No,Yes,Baseball,New England Patriots,
16-20,Male,New England Patriots,Massachusetts,Idaho,,10-14,No,Yes,$0-$49,No,Yes,Basketball,Tampa Bay Buccaneers,Tom Brady
26-30,Prefer not to say,Buffalo Bills,New York,Florida,,25+,Yes,Yes,$500-$999,Yes,Yes,"Basketball,Hockey",New York Jets,Nick Foles
31-35,Male,Detroit Lions,Michigan,Michigan,,25+,Yes,No,$0-$49,No,Yes,Baseball,Tampa Bay Buccaneers,Tom Brady
26-30,Male,Los Angeles Chargers,California,Hawaii,,3-5,No,No,$0-$49,No,No,Soccer,Buffalo Bills,
21-25,Male,Miami Dolphins,Florida,Other,Austria,0-2,No,No,$0-$49,No,No,"Tennis,Soccer, Cycling",Buffalo Bills,Tua Tagovailoa
21-25,Male,Denver Broncos,Colorado,Washington,,6-9,No,Yes,$200-$299,Yes,No,None,Buffalo Bills,Russell Wilson
16-20,Male,Los Angeles Chargers,California,Texas,,10-14,No,Yes,$100-$199,No,Yes,"Baseball,Basketball,Hockey,Motorsports (Nascar, F1, Indycar)",Buffalo Bills,Justin Herbert
21-25,Male,Denver Broncos,Colorado,Oklahoma,,10-14,Yes,Yes,$200-$299,No,Yes,Basketball,Denver Broncos,Justin Simmons
16-20,Male,Atlanta Falcons,Georgia,Georgia,,3-5,Yes,Yes,$100-$199,Yes,Yes,Basketball,Atlanta Falcons,Aj Terrell
31-35,Male,Tennessee Titans,Tennessee,Texas,,20-24,No,Yes,$50-$99,Yes,No,Basketball,Buffalo Bills,Derrick Henry
31-35,Male,Los Angeles Rams,California,Other,North Macedonia,6-9,No,Yes,$100-$199,No,No,"Handball, Formula 1",Buffalo Bills,Cooper Kupp
41-50,Male,Detroit Lions,Michigan,Indiana,,25+,Yes,Yes,$200-$299,No,No,"Baseball,Basketball,Hockey",Buffalo Bills,Matt Stafford
16-20,Male,Minnesota Vikings,Minnesota,Other,UK,3-5,Yes,No,$0-$49,Yes,No,"Tennis,Soccer, Rugby (Union), Cricket",Buffalo Bills,Harrison Smith
26-30,Female,New Orleans Saints,Louisiana,Virginia,,10-14,Yes,Yes,$0-$49,Yes,No,Basketball,Buffalo Bills,
Under 16,Male,Cincinnati Bengals,Ohio,Ohio,,6-9,Yes,Yes,$300-$499,No,Yes,Hockey,Cincinnati Bengals,Ja'Marr Chase
26-30,Male,New England Patriots,Massachusetts,Connecticut,,15-19,No,No,$0-$49,No,No,"Basketball,Boxing",Tampa Bay Buccaneers,Tom Brady
41-50,Male,Denver Broncos,Colorado,Other,UK,25+,Yes,Yes,$100-$199,Yes,Yes,None,Buffalo Bills,Justin Simmons
21-25,Male,New Orleans Saints,Louisiana,Kentucky,,20-24,Yes,No,$0-$49,No,No,None,Buffalo Bills,
16-20,Male,Seattle Seahawks,Washington,Other,Australia,6-9,No,Yes,$0-$49,No,No,"Rugby League, Rugby Union, College Football, Soccer",Los Angeles Chargers,Jordyn Brooks
41-50,Male,Baltimore Ravens,Maryland,Other,Scotland,15-19,No,Yes,$100-$199,Yes,Yes,"Soccer, Cricket, Mma, Boxing,",San Francisco 49ers,Lamar Jackson
31-35,Male,Pittsburgh Steelers,Pennsylvania,Other,Germany,10-14,No,Yes,$0-$49,Yes,No,Formula 1,Buffalo Bills,Tj Watt
31-35,Male,Los Angeles Chargers,California,Other,Canada,20-24,Yes,Yes,$100-$199,Yes,Yes,"Baseball,Basketball,Hockey",Los Angeles Chargers,Justin Herbert
21-25,Male,Baltimore Ravens,Maryland,Georgia,,10-14,No,Yes,$0-$49,No,Yes,Basketball,Buffalo Bills,Lamar Jackson
21-25,Male,New England Patriots,Massachusetts,Ohio,,15-19,Yes,Yes,$1000+,Yes,Yes,"Baseball,Basketball",Buffalo Bills,Mac Jones
26-30,Male,New England Patriots,Massachusetts,Massachusetts,,20-24,No,Yes,$0-$49,No,Yes,Disc Golf,Buffalo Bills,Matthew Judon
31-35,Male,Baltimore Ravens,Maryland,Florida,,15-19,Yes,Yes,$0-$49,No,Yes,None,Buffalo Bills,Lamar Jackson
31-35,Male,Minnesota Vikings,Minnesota,Pennsylvania,,25+,Yes,Yes,$100-$199,Yes,No,"Basketball,Hockey,Ufc",Buffalo Bills,Harrison Smith
16-20,Male,New Orleans Saints,Louisiana,Louisiana,,10-14,Yes,Yes,$100-$199,Yes,No,None,New Orleans Saints,Joe Burrow
Under 16,Male,Dallas Cowboys,Texas,New Jersey,,3-5,No,Yes,$0-$49,No,Yes,Baseball,Buffalo Bills,Micah Parsons
21-25,Male,New England Patriots,Massachusetts,New York,,10-14,Yes,Yes,$100-$199,No,Yes,Golf,New England Patriots,Cole Strange
26-30,Male,Minnesota Vikings,Minnesota,Other,Germany,10-14,No,Yes,$0-$49,No,No,"Basketball,Track And Field",Buffalo Bills,Dalvin Cook
26-30,Male,Pittsburgh Steelers,Pennsylvania,Maryland,,15-19,Yes,Yes,$100-$199,Yes,Yes,Hockey,Indianapolis Colts,Diontae Johnson
26-30,Male,New England Patriots,Massachusetts,Rhode Island,,15-19,No,No,$0-$49,No,Yes,"Baseball,Basketball,Hockey",New England Patriots,Matthew Slater
21-25,Male,Minnesota Vikings,Minnesota,Iowa,,10-14,Yes,Yes,$0-$49,No,Yes,Basketball,Los Angeles Chargers,Justin Jefferson
16-20,Female,Cincinnati Bengals,Ohio,Other,Finland,0-2,No,No,$0-$49,No,No,"Tennis,Soccer",Kansas City Chiefs,Joe Burrow
26-30,Male,Denver Broncos,Colorado,Florida,,15-19,Yes,Yes,$50-$99,No,Yes,"Baseball,Basketball,Golf",Buffalo Bills,Von Miller
51+,Male,Los Angeles Chargers,California,California,,25+,Yes,Yes,$100-$199,Yes,No,"Hockey,Cycling",Los Angeles Chargers,Austin Ekeler
31-35,Male,Tennessee Titans,Tennessee,Louisiana,,25+,Yes,Yes,$50-$99,Yes,Yes,Basketball,Tennessee Titans,Derrick Henry
26-30,Female,New England Patriots,Massachusetts,New York,,10-14,No,Yes,$0-$49,No,No,None,New England Patriots,
21-25,Male,New England Patriots,Massachusetts,Massachusetts,,10-14,No,Yes,$0-$49,No,Yes,"Baseball,Basketball",Kansas City Chiefs,Matthew Slater
36-40,Male,Los Angeles Chargers,California,California,,25+,Yes,No,$0-$49,No,No,Soccer,Los Angeles Chargers,Justin Herbert
26-30,Male,Denver Broncos,Colorado,Missouri,,15-19,No,Yes,$200-$299,Yes,Yes,Basketball,Denver Broncos,Pat Surtain Ii
36-40,Male,Carolina Panthers,North Carolina,North Carolina,,25+,Yes,Yes,$200-$299,No,Yes,Basketball,Carolina Panthers,Christian Mccaffrey
41-50,Male,Dallas Cowboys,Texas,Texas,,10-14,No,Yes,$100-$199,Yes,No,None,Green Bay Packers,
41-50,Male,Tennessee Titans,Tennessee,Georgia,,25+,Yes,Yes,$0-$49,Yes,No,None,Tampa Bay Buccaneers,Derrick Henry
16-20,Male,Atlanta Falcons,Georgia,Georgia,,6-9,No,No,$0-$49,No,Yes,"Baseball,Basketball",Buffalo Bills,Tom Brady
26-30,Male,Baltimore Ravens,Maryland,Arizona,,15-19,Yes,Yes,$50-$99,No,No,Baseball,Buffalo Bills,Justin Tucker
51+,Female,Los Angeles Rams,California,California,,25+,Yes,Yes,$200-$299,No,No,"Baseball,Basketball,Hockey,Tennis,Golf",Buffalo Bills,Patrick Mahomes
31-35,Male,Los Angeles Chargers,California,Oregon,,25+,Yes,No,$0-$49,No,No,"Baseball,Basketball",Los Angeles Chargers,Justin Herbert
41-50,Male,Tampa Bay Buccaneers,Florida,Florida,,25+,Yes,Yes,$300-$499,Yes,Yes,Hockey,Tampa Bay Buccaneers,Tom Brady
21-25,Male,New England Patriots,Massachusetts,Florida,,15-19,Yes,Yes,$500-$999,No,Yes,"Basketball,Hockey",Tampa Bay Buccaneers,Devin Mccourty
31-35,Male,Los Angeles Chargers,California,California,,10-14,Yes,Yes,$500-$999,Yes,Yes,Basketball,Buffalo Bills,Austin Ekeler
21-25,Male,Tampa Bay Buccaneers,Florida,North Carolina,,15-19,Yes,Yes,$0-$49,No,No,"Baseball,Basketball,Hockey,Esports",Tampa Bay Buccaneers,Mike Evans
Under 16,Male,Baltimore Ravens,Maryland,Virginia,,6-9,Yes,Yes,$0-$49,No,Yes,Mixed Martial Arts,Kansas City Chiefs,Justin Tucker
21-25,Male,New England Patriots,Massachusetts,Other,Canada,6-9,No,Yes,$50-$99,Yes,No,Hockey,Las Vegas Raiders,Tom Brady
21-25,Male,New England Patriots,Massachusetts,Other,Canada,10-14,No,Yes,$50-$99,Yes,No,"Basketball,Golf",Buffalo Bills,Tom Brady
26-30,Male,Tampa Bay Buccaneers,Florida,Florida,,15-19,Yes,Yes,$0-$49,No,No,Hockey,Tampa Bay Buccaneers,
36-40,Male,Tampa Bay Buccaneers,Florida,Florida,,25+,Yes,Yes,$50-$99,Yes,Yes,Hockey,Tampa Bay Buccaneers,Lavonte David
21-25,Male,Tampa Bay Buccaneers,Florida,Michigan,,15-19,Yes,Yes,$50-$99,No,No,Baseball,Tampa Bay Buccaneers,Mike Evans
21-25,Male,New England Patriots,Massachusetts,Rhode Island,,15-19,Yes,No,$0-$49,No,No,Basketball,Buffalo Bills,Lamar Jackson
21-25,Male,New England Patriots,Massachusetts,Other,Germany,3-5,No,Yes,$0-$49,Yes,Yes,"Soccer (Only Europe), Darts, Chess",Buffalo Bills,Kendrick Bourne
51+,Male,Kansas City Chiefs,Missouri,California,,25+,No,No,$50-$99,No,No,"Basketball,Hockey,Olympics Stuff",Buffalo Bills,Patrick Mahomes
31-35,Female,Denver Broncos,Colorado,California,,25+,Yes,Yes,$50-$99,No,No,"Baseball,Basketball,Hockey",Buffalo Bills,Von Miller
26-30,Male,Los Angeles Rams,California,California,,15-19,No,No,$0-$49,No,Yes,"Baseball,Basketball,Boxing",Los Angeles Rams,Aaron Donald
16-20,Male,Tennessee Titans,Tennessee,Tennessee,,6-9,Yes,Yes,Prefer not to answer,No,No,Hockey,Los Angeles Chargers,Justin Jefferson
16-20,Male,Minnesota Vikings,Minnesota,Minnesota,,6-9,Yes,Yes,$50-$99,Yes,Yes,"Basketball,Hockey,Golf",Minnesota Vikings,Justin Jefferson
21-25,Male,New England Patriots,Massachusetts,North Carolina,,20-24,Yes,Yes,$50-$99,Yes,Yes,"Baseball,Basketball,Hockey,Golf",New England Patriots,Mac Jones
